lat,lon,timestamp,TSM (mg/l),Temperature (˚C),Salinity (‰),Oxygen (mg/L),Oxygen (%),Conductivity (Ohm-1),Sound (m/s),Station,Sampling depth (m)
41.010731,39.768925,2013-11-26 08:30:00,None,15.71,17.92,9.2,96.7,23.81,1489.23,D1,0.75
41.010731,39.768925,2013-11-26 08:30:00,None,15.71,17.92,None,None,23.8,1489.23,D1,1.15
41.010731,39.768925,2013-11-26 08:30:00,None,15.71,17.92,None,None,23.81,1489.25,D1,1.67
41.010731,39.768925,2013-11-26 08:30:00,None,15.71,17.92,None,None,23.81,1489.26,D1,2.12
41.010731,39.768925,2013-11-26 08:30:00,None,15.71,17.92,None,None,23.81,1489.27,D1,2.64
41.010731,39.768925,2013-11-26 08:30:00,None,15.72,17.92,None,None,23.82,1489.28,D1,3.15
41.010731,39.768925,2013-11-26 08:30:00,None,15.72,17.92,None,None,23.82,1489.29,D1,3.63
41.010731,39.768925,2013-11-26 08:30:00,None,15.72,17.92,None,None,23.82,1489.3,D1,4.18
41.010731,39.768925,2013-11-26 08:30:00,None,15.72,17.93,None,None,23.82,1489.31,D1,4.61
41.010731,39.768925,2013-11-26 08:30:00,None,15.72,17.93,None,None,23.82,1489.32,D1,5.14
41.010731,39.768925,2013-11-26 08:30:00,None,15.72,17.93,None,None,23.82,1489.33,D1,5.66
41.010731,39.768925,2013-11-26 08:30:00,None,15.72,17.93,None,None,23.82,1489.34,D1,6.1
41.010731,39.768925,2013-11-26 08:30:00,None,15.72,17.93,None,None,23.82,1489.34,D1,6.6
41.010731,39.768925,2013-11-26 08:30:00,None,15.72,17.93,None,None,23.82,1489.35,D1,7.15
41.010731,39.768925,2013-11-26 08:30:00,None,15.71,17.93,None,None,23.82,1489.36,D1,7.65
41.010731,39.768925,2013-11-26 08:30:00,None,15.71,17.93,None,None,23.82,1489.36,D1,8.09
41.010731,39.768925,2013-11-26 08:30:00,None,15.71,17.93,None,None,23.82,1489.37,D1,8.6
41.010731,39.768925,2013-11-26 08:30:00,None,15.71,17.93,None,None,23.82,1489.36,D1,9.19
41.010731,39.768925,2013-11-26 08:30:00,None,15.71,17.93,None,None,23.82,1489.37,D1,9.6
41.010731,39.768925,2013-11-26 08:30:00,None,15.71,17.93,None,None,23.82,1489.37,D1,10.14
41.010731,39.768925,2013-11-26 08:30:00,None,15.64,17.93,None,None,23.79,1489.17,D1,10.62
41.010731,39.768925,2013-11-26 08:30:00,None,15.61,17.94,None,None,23.78,1489.08,D1,11.08
41.010731,39.768925,2013-11-26 08:30:00,None,15.61,17.94,None,None,23.78,1489.1,D1,11.6
41.010731,39.768925,2013-11-26 08:30:00,None,15.62,17.94,None,None,23.78,1489.13,D1,12.11
41.010731,39.768925,2013-11-26 08:30:00,None,15.61,17.94,None,None,23.78,1489.11,D1,12.62
41.010731,39.768925,2013-11-26 08:30:00,None,15.6,17.94,None,None,23.78,1489.1,D1,13.09
41.010731,39.768925,2013-11-26 08:30:00,None,15.61,17.94,None,None,23.78,1489.14,D1,13.65
41.010731,39.768925,2013-11-26 08:30:00,None,15.61,17.94,None,None,23.78,1489.12,D1,14.13
41.010731,39.768925,2013-11-26 08:30:00,None,15.58,17.94,None,None,23.77,1489.06,D1,14.6
41.010731,39.768925,2013-11-26 08:30:00,None,15.58,17.94,None,None,23.77,1489.07,D1,15.08
41.010731,39.768925,2013-11-26 08:30:00,None,15.58,17.94,None,None,23.77,1489.08,D1,15.59
41.010731,39.768925,2013-11-26 08:30:00,None,15.59,17.94,None,None,23.77,1489.1,D1,16.11
41.010731,39.768925,2013-11-26 08:30:00,None,15.59,17.94,None,None,23.77,1489.1,D1,16.62
41.010731,39.768925,2013-11-26 08:30:00,None,15.58,17.94,None,None,23.77,1489.1,D1,17.1
