lat,lon,timestamp,tsm (mg/l),temperature (˚C),salinity (‰),density (gr/cm3),oxygen (mg/L),oxygen (%),conductivity (ohm-1),sound,station,sampling depth (m)
41.256703,41.118621,2021-10-14 10:00:00,8.71,21.4226,17.5665,11.1722,7.546,94.55,26.50706,1506.15,F1,0.227
41.256703,41.118621,2021-10-14 10:00:00,none,21.3232,18.265,11.7244,7.821,98.21,27.408353,1506.64,F1,0.315
41.256703,41.118621,2021-10-14 10:00:00,none,21.0734,17.8421,11.4668,7.61,94.88,26.68887,1505.49,F1,1.556
41.256703,41.118621,2021-10-14 0.416666667,none,20.868,18.0015,11.6378,7.634,94.9,26.789363,1505.09,F1,1.956
41.256703,41.118621,2021-10-14 10:00:00,none,21.0206,17.9775,11.5822,7.776,96.94,26.84357,1505.5,F1,2.115
41.256703,41.118621,2021-10-14 10:00:00,none,20.9816,17.9779,11.5921,7.761,96.68,26.822003,1505.39,F1,2.242
41.256703,41.118621,2021-10-14 10:00:00,none,20.8587,17.9427,11.5956,7.861,97.68,26.704917,1505.03,F1,4.088
41.256703,41.118621,2021-10-14 10:00:00,none,19.6747,18.2658,12.1238,7.774,94.63,26.464011,1501.98,F1,5.114
41.256703,41.118621,2021-10-14 10:00:00,none,19.5441,18.2985,12.1792,7.922,96.21,26.432643,1501.64,F1,5.247
41.256703,41.118621,2021-10-14 10:00:00,none,19.3581,18.3252,12.2426,7.779,94.14,26.361583,1501.13,F1,6.267
41.256703,41.118621,2021-10-14 10:00:00,none,19.2453,18.3627,12.2971,7.892,95.33,26.346369,1500.85,F1,7.044
41.256703,41.118621,2021-10-14 10:00:00,none,19.2235,18.3647,12.3036,7.79,94.06,26.336574,1500.8,F1,7.569
41.256703,41.118621,2021-10-14 10:00:00,none,19.2161,18.3669,12.307,7.838,94.63,26.335414,1500.79,F1,8.446
41.256703,41.118621,2021-10-14 10:00:00,5.5,19.2168,18.3552,12.298,7.81,94.29,26.321027,1500.81,F1,9.869
41.261387,41.122299,2021-10-14 10:17:00,9.15,21.4226,17.5665,11.1722,7.546,94.55,26.50706,1506.15,F2,0.227
41.261387,41.122299,2021-10-14 10:17:00,none,21.3232,18.265,11.7244,7.821,98.21,27.408353,1506.64,F2,0.315
41.261387,41.122299,2021-10-14 10:17:00,none,21.0734,17.8421,11.4668,7.61,94.88,26.68887,1505.49,F2,1.556
41.261387,41.122299,2021-10-14 10:17:00,none,20.868,18.0015,11.6378,7.634,94.9,26.789363,1505.09,F2,1.956
41.261387,41.122299,2021-10-14 10:17:00,none,21.0206,17.9775,11.5822,7.776,96.94,26.84357,1505.5,F2,2.115
41.261387,41.122299,2021-10-14 10:17:00,none,20.9816,17.9779,11.5921,7.761,96.68,26.822003,1505.39,F2,2.242
41.261387,41.122299,2021-10-14 10:17:00,none,20.8587,17.9427,11.5956,7.861,97.68,26.704917,1505.03,F2,4.088
41.261387,41.122299,2021-10-14 10:17:00,none,19.6747,18.2658,12.1238,7.774,94.63,26.464011,1501.98,F2,5.114
41.261387,41.122299,2021-10-14 10:17:00,none,19.5441,18.2985,12.1792,7.922,96.21,26.432643,1501.64,F2,5.247
41.261387,41.122299,2021-10-14 10:17:00,none,19.3581,18.3252,12.2426,7.779,94.14,26.361583,1501.13,F2,6.267
41.261387,41.122299,2021-10-14 10:17:00,none,19.2161,18.3669,12.307,7.838,94.63,26.335414,1500.79,F2,8.446
41.261387,41.122299,2021-10-14 10:17:00,none,19.4489,18.3397,12.2326,10.381,125.87,26.433271,1501.46,F2,9.054
41.261387,41.122299,2021-10-14 10:17:00,none,19.3018,18.3807,12.2977,9.088,109.9,26.403028,1501.09,F2,10.101
41.261387,41.122299,2021-10-14 10:17:00,none,19.2699,18.3835,12.3072,8.488,102.59,26.388852,1501.02,F2,11.467
41.261387,41.122299,2021-10-14 10:17:00,none,19.222,18.3968,12.3283,8.252,99.66,26.378999,1500.91,F2,12.274
41.261387,41.122299,2021-10-14 10:17:00,4.21,19.1909,18.4021,12.3395,7.891,95.24,26.368371,1500.84,F2,13.431
41.264625,41.124421,2021-10-14 10:33:00,8.62,21.2783,13.3729,8.0426,8.027,97.88,20.593668,1501.13,F3,0.379
41.264625,41.124421,2021-10-14 10:33:00,none,21.586,17.853,11.3475,8.052,101.37,26.993459,1506.94,F3,1.282
41.264625,41.124421,2021-10-14 10:33:00,none,21.4933,17.8586,11.375,9.118,114.6,26.949019,1506.71,F3,2.457
41.264625,41.124421,2021-10-14 10:33:00,none,20.8587,17.9427,11.5956,7.861,97.68,26.704917,1505.03,F3,4.088
41.264625,41.124421,2021-10-14 10:33:00,none,19.6747,18.2658,12.1238,7.774,94.63,26.464011,1501.98,F3,5.114
41.264625,41.124421,2021-10-14 10:33:00,none,19.5441,18.2985,12.1792,7.922,96.21,26.432643,1501.64,F3,5.247
41.264625,41.124421,2021-10-14 10:33:00,none,19.3581,18.3252,12.2426,7.779,94.14,26.361583,1501.13,F3,6.267
41.264625,41.124421,2021-10-14 10:33:00,none,19.4489,18.3397,12.2326,10.381,125.87,26.433271,1501.46,F3,9.054
41.264625,41.124421,2021-10-14 10:33:00,none,19.3018,18.3807,12.2977,9.088,109.9,26.403028,1501.09,F3,10.101
41.264625,41.124421,2021-10-14 10:33:00,none,19.2699,18.3835,12.3072,8.488,102.59,26.388852,1501.02,F3,11.467
41.264625,41.124421,2021-10-14 10:33:00,none,19.222,18.3968,12.3283,8.252,99.66,26.378999,1500.91,F3,12.274
41.264625,41.124421,2021-10-14 10:33:00,none,19.1909,18.4021,12.3395,7.891,95.24,26.368371,1500.84,F3,13.431
41.264625,41.124421,2021-10-14 10:33:00,4.67,19.1633,18.4103,12.3521,8.184,98.73,26.363614,1500.79,F3,14.687
