obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,45.60000228881836,30.756512354171782,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 00:00:00,50,0.0,POINT (30.756512354171782 45.60000228881836)
1,0.0,0.0,0.0,0.0,45.60242350869526,30.752479771979168,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 01:00:00,50,0.0,POINT (30.752479771979168 45.60242350869526)
2,0.0,0.0,0.0,0.0,45.601703135368105,30.7476068890437,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 02:00:00,50,0.0,POINT (30.7476068890437 45.601703135368105)
3,0.0,0.0,0.0,0.0,45.606227584043594,30.74886174716759,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 03:00:00,50,0.0,POINT (30.74886174716759 45.606227584043594)
4,0.0,0.0,0.0,0.0,45.60831601060659,30.753096442653263,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 04:00:00,50,0.0,POINT (30.753096442653263 45.60831601060659)
5,0.0,0.0,0.0,0.0,45.61190519784481,30.748179641467065,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 05:00:00,50,0.0,POINT (30.748179641467065 45.61190519784481)
6,0.0,0.0,0.0,0.0,45.6121152282634,30.74857542079017,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 06:00:00,50,0.0,POINT (30.74857542079017 45.6121152282634)
7,0.0,0.0,0.0,0.0,45.6131275207483,30.75382224307899,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 07:00:00,50,0.0,POINT (30.75382224307899 45.6131275207483)
8,0.0,0.0,0.0,0.0,45.612948505311834,30.749985626831826,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 08:00:00,50,0.0,POINT (30.749985626831826 45.612948505311834)
9,0.0,0.0,0.0,0.0,45.61339301026252,30.745226576634547,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 09:00:00,50,0.0,POINT (30.745226576634547 45.61339301026252)
10,0.0,0.0,0.0,0.0,45.61216478049686,30.747438849972983,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 10:00:00,50,0.0,POINT (30.747438849972983 45.61216478049686)
11,0.0,0.0,0.0,0.0,45.613164082328694,30.74699443436487,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 11:00:00,50,0.0,POINT (30.74699443436487 45.613164082328694)
12,0.0,0.0,0.0,0.0,45.61293389816044,30.743811440347386,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 12:00:00,50,0.0,POINT (30.743811440347386 45.61293389816044)
13,0.0,0.0,0.0,0.0,45.61043492231176,30.73843240790883,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 13:00:00,50,0.0,POINT (30.73843240790883 45.61043492231176)
14,0.0,0.0,0.0,0.0,45.61655671105924,30.731265833355913,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 14:00:00,50,0.0,POINT (30.731265833355913 45.61655671105924)
15,0.0,0.0,0.0,0.0,45.61753862598504,30.72418115434199,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 15:00:00,50,0.0,POINT (30.72418115434199 45.61753862598504)
16,0.0,0.0,0.0,0.0,45.618411272708876,30.71742631209206,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 16:00:00,50,0.0,POINT (30.71742631209206 45.618411272708876)
17,0.0,0.0,0.0,0.0,45.61826424508739,30.71176262044138,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 17:00:00,50,0.0,POINT (30.71176262044138 45.61826424508739)
18,0.0,0.0,0.0,0.0,45.62338658887304,30.703075517456803,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 18:00:00,50,0.0,POINT (30.703075517456803 45.62338658887304)
19,0.0,0.0,0.0,0.0,45.61775561576644,30.69417188623791,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 19:00:00,50,0.0,POINT (30.69417188623791 45.61775561576644)
20,0.0,0.0,0.0,0.0,45.619355726138686,30.687341497375147,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 20:00:00,50,0.0,POINT (30.687341497375147 45.619355726138686)
21,0.0,0.0,0.0,0.0,45.621024603938935,30.68052531329015,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 21:00:00,50,0.0,POINT (30.68052531329015 45.621024603938935)
22,0.0,0.0,0.0,0.0,45.62497988572141,30.666757116168945,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 22:00:00,50,0.0,POINT (30.666757116168945 45.62497988572141)
23,0.0,0.0,0.0,0.0,45.624984119202324,30.662569150721186,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-07 23:00:00,50,0.0,POINT (30.662569150721186 45.624984119202324)
24,0.0,0.0,0.0,0.0,45.62496366256056,30.65746761136976,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 00:00:00,50,0.0,POINT (30.65746761136976 45.62496366256056)
25,0.0,0.0,0.0,0.0,45.62143097248242,30.65171818043123,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 01:00:00,50,0.0,POINT (30.65171818043123 45.62143097248242)
26,0.0,0.0,0.0,0.0,45.61944172376597,30.649994915642022,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 02:00:00,50,0.0,POINT (30.649994915642022 45.61944172376597)
27,0.0,0.0,0.0,0.0,45.616050295869925,30.643983526322653,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 03:00:00,50,0.0,POINT (30.643983526322653 45.616050295869925)
28,0.0,0.0,0.0,0.0,45.61027045595864,30.636281837023514,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 04:00:00,50,0.0,POINT (30.636281837023514 45.61027045595864)
29,0.0,0.0,0.0,0.0,45.60653364503652,30.63307555810073,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 05:00:00,50,0.0,POINT (30.63307555810073 45.60653364503652)
30,0.0,0.0,0.0,0.0,45.59709887095538,30.62048482928673,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 06:00:00,50,0.0,POINT (30.62048482928673 45.59709887095538)
31,0.0,0.0,0.0,0.0,45.59806320632537,30.61235037922243,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 07:00:00,50,0.0,POINT (30.61235037922243 45.59806320632537)
32,0.0,0.0,0.0,0.0,45.59459037780049,30.606642030648263,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 08:00:00,50,0.0,POINT (30.606642030648263 45.59459037780049)
33,0.0,0.0,0.0,0.0,45.5892696520143,30.597420151088794,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 09:00:00,50,0.0,POINT (30.597420151088794 45.5892696520143)
34,0.0,0.0,0.0,0.0,45.58338724193908,30.59008107832504,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 10:00:00,50,0.0,POINT (30.59008107832504 45.58338724193908)
35,0.0,0.0,0.0,0.0,45.584088083061594,30.582689210772262,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 11:00:00,50,0.0,POINT (30.582689210772262 45.584088083061594)
36,0.0,0.0,0.0,0.0,45.585476673873096,30.57780237375874,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 12:00:00,50,0.0,POINT (30.57780237375874 45.585476673873096)
37,0.0,0.0,0.0,0.0,45.586158255483745,30.569450240151344,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 13:00:00,50,0.0,POINT (30.569450240151344 45.586158255483745)
38,0.0,0.0,0.0,0.0,45.5817366862029,30.56753984660523,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 14:00:00,50,0.0,POINT (30.56753984660523 45.5817366862029)
39,0.0,0.0,0.0,0.0,45.57666248824607,30.570626987843692,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 15:00:00,50,0.0,POINT (30.570626987843692 45.57666248824607)
40,0.0,0.0,0.0,0.0,45.57361956845362,30.577926665647308,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 16:00:00,50,0.0,POINT (30.577926665647308 45.57361956845362)
41,0.0,0.0,0.0,0.0,45.56582468372359,30.587644501514017,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 17:00:00,50,0.0,POINT (30.587644501514017 45.56582468372359)
42,0.0,0.0,0.0,0.0,45.56201310691136,30.60077334726872,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 18:00:00,50,0.0,POINT (30.60077334726872 45.56201310691136)
43,0.0,0.0,0.0,0.0,45.55735751117453,30.6234856416734,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 19:00:00,50,0.0,POINT (30.6234856416734 45.55735751117453)
44,0.0,0.0,0.0,0.0,45.55236473178286,30.628167694793472,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 20:00:00,50,0.0,POINT (30.628167694793472 45.55236473178286)
45,0.0,0.0,0.0,0.0,45.54640110549094,30.64386294925078,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 21:00:00,50,0.0,POINT (30.64386294925078 45.54640110549094)
46,0.0,0.0,0.0,0.0,45.53848781506239,30.65547795772368,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 22:00:00,50,0.0,POINT (30.65547795772368 45.53848781506239)
47,0.0,0.0,0.0,0.0,45.53371470747682,30.664749852591253,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-08 23:00:00,50,0.0,POINT (30.664749852591253 45.53371470747682)
48,0.0,0.0,0.0,0.0,45.534746288592046,30.670913303345756,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-09 00:00:00,50,0.0,POINT (30.670913303345756 45.534746288592046)
49,0.0,0.0,0.0,0.0,45.53248503137978,30.68092583064455,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-09 01:00:00,50,0.0,POINT (30.68092583064455 45.53248503137978)
50,0.0,0.0,0.0,0.0,45.53182694171465,30.69080403525837,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-09 02:00:00,50,0.0,POINT (30.69080403525837 45.53182694171465)
51,0.0,0.0,0.0,0.0,45.53183324885738,30.701853926809495,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-09 03:00:00,50,0.0,POINT (30.701853926809495 45.53183324885738)
52,0.0,0.0,0.0,0.0,45.531591886437404,30.710285222129624,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-09 04:00:00,50,0.0,POINT (30.710285222129624 45.531591886437404)
53,0.0,0.0,0.0,0.0,45.53651702339941,30.71917596536414,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-09 05:00:00,50,0.0,POINT (30.71917596536414 45.53651702339941)
54,0.0,0.0,0.0,0.0,45.54087190523414,30.731066191856698,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-09 06:00:00,50,0.0,POINT (30.731066191856698 45.54087190523414)
55,0.0,0.0,0.0,0.0,45.54478500725464,30.73891108389762,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-09 07:00:00,50,0.0,POINT (30.73891108389762 45.54478500725464)
56,0.0,0.0,0.0,0.0,45.550336220026324,30.75035562978997,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-09 08:00:00,50,0.0,POINT (30.75035562978997 45.550336220026324)
57,0.0,0.0,0.0,0.0,45.554072443690075,30.757621919574085,45.600002,30.756512,0.0,45.600002,30.756512,2016-10-09 09:00:00,50,0.0,POINT (30.757621919574085 45.554072443690075)
